"SPY×FAMILY"の主人公、銃夢(ジュン)の本名は？,1,藤吉郎,徹夜,慎一郎,淳之介
スピリットの名前がマキシミリアンであるキャラクターは？,2,アニエス,ヨル,エリア,リオ
スピリット能力者の名前は？,4,アニエス,ヨル,エリア,リオ
ヨルが通っている学校の名前は？,3,エデン大学,カロル大学,ルビコン高校,リンデン高校
アニエスの父親であるチェシャーの本名は？,1,デヴィッド・チェイス,ピーター・チェイス,ロバート・チェイス,スティーブン・チェイス
ツェッピーの好きな食べ物は？,3,肉まん,焼きそばパン,ラーメン,カレーパン
イアンのランドセルの中身は？,2,カメラ,おにぎり,スパイグッズ,テディベア
ツェッピーが盗みを働く際に使うのは何？,4,ナイフ,拳銃,棒,煙幕
アニエスがスピリットであることを知った際、ロイドが渡したのは何？,1,アニエスの手帳,リオのスケッチ,ロイドのパスポート,ヨルの制服
ヨルが偽名で入学したのはどの学校？,3,ルビコン高校,エデン大学,カロル大学,リンデン高校
スパイファミリーのストーリーが始まるきっかけとなるイベントは？,2,銃夢がエデン大学に入学,アニエスが銃夢と出会う,ヨルが銃夢の子供として養子になる,ロイドがスパイの任務を受ける
ヨルの能力で他の人の思考を読むことができる部位はどこ？,1,右手,左手,右眼,左眼
ロイドの本名は何？,3,トワイライト,ダーク,ミッドナイト,シャドウ
アニエスが銃夢と結婚する際の偽名は？,4,アニエス・フォレスト,アニエス・クラーク,アニエス・ボンド,アニエス・ウィルソン
ヨルの本名は？,2,ヨル・フォレスト,ヨル・クラーク,ヨル・ボンド,ヨル・ウィルソン
ヨルがスパイファミリーに加わる前に通っていた施設の名前は？,3,ロマネフ施設,エデン大学,カロル大学,ルビコン高校
ヨルの髪の色は？,4,ピンク,青,紫,緑
ロイドの職業は何？,1,スパイ,刑事,医者,教師
ヨルの能力を最初に発見したのは誰？,2,アニエス,ロイド,ツェッピー,イアン
アニエスがアイドルをしている際の芸名は？,3,アニエス・エンジェル,アニエス・ハート,アニエス・ローズ,アニエス・スター
ロイドのパートナーであるスパイダーのコードネームは？,4,スカーフェイス,アイアンマン,スパイダーマン,ブラックウィドウ
スパイファミリーが住んでいる家は何号室？,1,202号室,303号室,404号室,505号室
アニエスの母親の名前は？,3,セリーヌ,マリー,エレナ,アンナ
ヨルの学校の制服の色は？,2,緑,青,赤,黄色
アニエスが最初にスパイファミリーに関わるきっかけとなった事件は？,4,銃夢のスパイ活動,ヨルの能力発見,ロイドのスパイ任務,アニエスのスパイダーの協力要請
アニエスの歌声に影響を受けた人物は？,1,ヨル,ロイド,ツェッピー,イアン
ツェッピーの特技は何？,3,手品,マジック,曲芸,ジャグリング
スパイファミリーの住む街の名前は？,4,バベル,エデン,アルファ,オメガ
アニエスのコンサートに行った際、ヨルは何を持って行った？,2,アニエスの手帳,アニエスの写真,アニエスのサイン,アニエスのCD
ヨルのスピリット能力を使った際の発光色は？,1,青,赤,緑,黄色
ヨルが入学した学校でのクラスは何組？,4,1組,2組,3組,4組
アニエスがアイドルをしていた期間は？,2,1年,2年,3年,4年
アニエスの歌声には何の特徴がある？,1,ユーフォニアム,エレガント,エモーショナル,エキゾチック
ロイドの部屋のインテリアの特徴は？,3,シンプル,高級,派手,古典的
アニエスのステージ名の「アニエス」は何語から来ている？,2,ラテン語,フランス語,スペイン語,ドイツ語
アニエスの母親の職業は何？,1,女優,歌手,作家,教師
ヨルの誕生日は？,3,11月11日,12月12日,1月1日,2月2日
アニエスが初めてヨルの能力を使った際、何を読むことができた？,4,ヨルの願望,ヨルの過去,ヨルの未来,ヨルの感情
アニエスの母親の名前は？,3,セリーヌ,マリー,エレナ,アンナ
アニエスが最初にスパイファミリーに関わるきっかけとなった事件は？,4,銃夢のスパイ活動,ヨルの能力発見,ロイドのスパイ任務,アニエスのスパイダーの協力要請
アニエスの歌声に影響を受けた人物は？,1,ヨル,ロイド,ツェッピー,イアン
ツェッピーの特技は何？,3,手品,マジック,曲芸,ジャグリング
スパイファミリーの住む街の名前は？,4,バベル,エデン,アルファ,オメガ
アニエスのコンサートに行った際、ヨルは何を持って行った？,2,アニエスの手帳,アニエスの写真,アニエスのサイン,アニエスのCD
ヨルのスピリット能力を使った際の発光色は？,1,青,赤,緑,黄色
ヨルが入学した学校でのクラスは何組？,4,1組,2組,3組,4組
アニエスがアイドルをしていた期間は？,2,1年,2年,3年,4年
アニエスの歌声には何の特徴がある？,1,ユーフォニアム,エレガント,エモーショナル,エキゾチック
ロイドの部屋のインテリアの特徴は？,3,シンプル,高級,派手,古典的
アニエスのステージ名の「アニエス」は何語から来ている？,2,ラテン語,フランス語,スペイン語,ドイツ語
