誰が主人公の敵役として登場する？,2,ボーボボ,ドネル,ジャギ,ソフトン
ボボボーボ・ボーボボの鼻の形は？,3,星型,丸型,四角形,三角形
どのキャラクターがボーボボの仲間ではない？,4,ダラダラ帝国大臣,ビービビ,パッチ,ヘップヘップ
「電流」「爆弾」「炎」など、何で敵を攻撃することが多い？,1,鼻毛,髪の毛,爪,舌
ドネルママの得意技は何？,4,ロッテンシェイカー,ドネルアタック,ドネルダイブ,ハンマーブロー
「ボボボーボ・ボーボボ」の作者は誰？,3,花沢健吾,荒川弘,中村光,原哲夫
ボーボボの家の屋根の形は？,2,巨大な鼻,巨大な舌,巨大な目,巨大な耳
パッチの得意技は何？,1,パッチアップル,パッチパンチ,パッチキック,パッチスラップ
ソフトンの名前の由来は何？,4,頭が柔らかいから,体が柔らかいから,鼻毛が柔らかいから,毛が柔らかいから
ドネルの帽子には何が書かれている？,3,DONELL,DOONER,DOG,DAWG
バブは何の能力を持っている？,1,透明人間,火を吹く,飛ぶ,巨大化
ボボボーボ・ボーボボの武器は何？,2,鼻毛,拳銃,剣,ハンマー
ボーボボの通信手段は何？,3,頭の髪の毛,目,耳,口
ダラダラ帝国の大臣の名前は？,4,ハイヒール帝,ブーツ帝,スリッパ帝,サンダル帝
ヘップヘップの口癖は何？,2,へっぽこ,うぇーい,へっへっへー,ぼぼぼぼー
ジャギの鼻毛の色は何色？,1,赤,青,緑,黄
パッチの髪型は？,4,ボウリングのピンのよう,モヒカン,ショートカット,パンチパーマ
ドネルの髪の毛は何色？,3,黄色,緑色,赤色,青色
ジャギの得意技は何？,2,ノーズヘアカッター,ノーズヘアボール,ノーズヘアウィップ,ノーズヘアスパイク
ボーボボが使う技の名前は何？,1,鼻毛真拳,髪の毛真拳,拳法,剣術
ダラダラ帝国の大臣の特徴は？,3,スリッパ,ハイヒール,ブーツ,サンダル
バブの体の色は何色？,2,青,赤,黄,緑
ボーボボの笑い声は何？,4,げほげほ,げふげふ,げはげは,げへげへ
ドネルの眼鏡の形は？,3,星型,丸型,四角形,三角形
パッチの声を担当した声優は誰？,1,小林由美子,神谷浩史,釘宮理恵,中井和哉
ボーボボの通信相手は誰？,2,ヘッポコ丸,ドネル,パッチ,ジャギ
ドネルママの得意料理は何？,3,ドネルボーイ,ドネルビーフ,ドネルカレー,ドネルパン
ソフトンの出身地は？,1,不明,地底,海中,宇宙
ヘップヘップの頭の形は？,3,へ,あ,く,お
バブの悪魔の名前は？,2,ボボル,ハニー,ブー,バン
ボーボボが大好きな食べ物は何？,3,プリン,おにぎり,ハンバーグ,カレーライス
ダラダラ帝国大臣の一人が何をしている？,1,寝ている,食事をしている,笑っている,歌っている
ヘップヘップの親は誰？,2,ヘッポコ丸,ヘッポコ大王,ヘッポコ王,ヘッポコ将軍
ドネルの通信相手は誰？,1,ボーボボ,パッチ,ジャギ,ソフトン
パッチの特徴は何？,4,帽子にネズミがいる,帽子にネコがいる,帽子に犬がいる,帽子にウサギがいる
ボーボボの髪の毛の色は何色？,2,金色,青色,赤色,緑色
ジャギの髪の毛の色は何色？,1,赤,青,緑,黄
ヘップヘップの好きな食べ物は何？,3,ピーナッツ,バナナ,チョコレート,キャラメル
ソフトンの声を担当した声優は誰？,4,高戸靖広,山寺宏一,林原めぐみ,森田成一
パッチの得意技は何？,3,パッチンキック,パッチンパンチ,パッチンスラップ,パッチンスピン
ボボボーボ・ボーボボの母親の名前は？,2,ボボボーボ・ババババ,ボボボーボ・ビビボボ,ボボボーボ・ボブボボ,ボボボーボ・ベベボボ
ダラダラ帝国の大臣の鼻の形は？,4,三角形,丸型,星型,四角形
バブの声を担当した声優は誰？,1,三宅健太,山寺宏一,佐藤正治,大友龍三郎
ボーボボの出身地は？,1,ハワイ,地球外,秘境,不明
ヘップヘップの得意技は何？,4,ヘップヘップフィンガー,ヘップヘップパンチ,ヘップヘップキック,ヘップヘップスラップ
ソフトンの特徴は？,2,目がハート型,鼻毛が紫色,体が透明,頭が四角形
ドネルの得意技は何？,1,ドネルアタック,ドネルパンチ,ドネルキック,ドネルスラップ
バブの得意技は何？,3,ファイヤーパンチ,アイスブリザード,ウィンドスラッシュ,ロッククラッシュ
ボーボボの帽子の色は何色？,1,ピンク,青,黄色,緑
ボーボボが使う技の名前は何？,1,鼻毛真拳,髪の毛真拳,拳法,剣術
